ID,Target
uGI8F9Er0c5XwdnX,By this publique Act and Instrument of protest
Dqt2gc3V5RJqmLE5,By this publique Act and Instrument of protest
eqF93vAKYa4aOeHr,By this public act and Instrument of protest be it known
SEYEZ7fwp3MbYkkB,By this public act and Instrument of protest be it known
sQjpjiUTThaMf4j6,By this public act and Instrument of protest be it
Zer3bZ5I7YFGoqS6,By this public Act and Instrument of protest be it
xD0EIkxQ5xUJIjuV,of February In the year of our Lord God one thousand six hundred sixty
vIO1Vk2ZKi0Yn0Sz,of February in the Year of our Lord God one thousand six hundred sixty
0mbbbshnl0XReeqC,of February in the year of our Lord God one thousand six hundred sixty
8kn3TLDy8Pzkhxre,date the Sixth day of July One thousand Six hundred
ATePrG4XYYSk9SqP,date the Sixth day of July One thousand Six hundred
nRvxGECsX83w3iAn,Signed Sealed and delivered in the prsence of us 
ik2J2jh39lYRPIih,Signed Sealed and delivered in the presence of us
WDbUz3HEvBWEdEfO,Signed Sealed and delivered in the presence of us
y4cX8NR9p3eQRAcH,Signed sealed and delivered in the prsence of us
Z2mR1OD41ELWIjS3,This done and protested the day and year aforesaid
tcWjg7hB7HjofnFN,This done and protested the day and year aforesaid
8K3R5VHfGgPa9cZR,This done and protested the day and Year aforesaid
243Efrgr29lBU5si,omitt Suffered or done ^by the said John Bawdon
m2hBfXjaPMNj7JAQ,omitt Suffered or Done ^by the Said John Bawdon
H6MlB7cGEGI4lZ6J,To all Christian People to whome this present writeing shall come
ewYlEIEmas0JBluR,To all Christian People to whome this present writeing shall come
BU7IrN4RM2C3UZC0,Sealed and delivered in the prsence of 
UUMGGElAnTqRKlfO,Sealed and delivered in the presence of
huKYbaDS0hn3iQSa,Sealed and delivered in the prsence of 
zF6Y0Q8CW0z7x0EU,Sealed and delivered in the prsence of 
v2PiLBtv4u7leFxd,sealed and delivered in the presence of
5fg6hZ3GqQbzwqGI,Sealed and delivered in the presence of
rmAMD7qwDT9Hnue7,Sealed and delivered in the presence of
R3i1amI9QDkg6ihX,Sealed and delivered in the prsence of
0ZvGzksVcRwCqqvb,To all Christian People to whome these presents shall
gg5hfS9d6SHxZS3e,To all christian people to whome these presents shall
tlIG4kS1IsC4cvjc,To all Christian People to whome these presents shall
7G2Eyw9CxUwwivGA,To all Christian people to whome these presents Shall
RAalP94Vy9npUxzr,To all Christian people to whome these presents shall
ChtGx4491s5eJoNw,To all Christian people to whome this prsent writing
Jrm3V9E0DcaSAlZF,To all Christian people to whom this present writing
i5MI0a58XRPBHAx3,French ship call the St. Robert of Rochell in France (where name the said appearer
cSHBo8ZEYXywLZV6,French ship call the St. Robert of Rochill in France (where name the said Appearer
6Q9xqqBd0In0I4xS,for or by reason of the said Whiston not loading of the said twelve
eEMNnCTYJgaPRPW6,for or by reason of the said Whiston not loading of the said twelve
lX9s1LYu4gomLBB0,Charles the second by the grace of God of England
trQe5eMPRmws6XCS,Charles the Second by the grace of God of England
vPp8Ebgi7VUqkQsQ,of twenty seventy acres of land as aforesaid and all and singular the
aI94QnYrXA1qRrZi,"and for Euer guift claime, and Confirme unto my Said Son"
W84Lw7FYVOL8tFrx,age  portion to and with the Said Elizabeth Vaughan Now in -
f8QIolG5Xe3f2ZYp,and one rood and all and Singuler other the premises hereby
VbZcY4RkcIKyFzVc,the Full Sume of FFive hundred pounds Currant mony
P9tEpZZRztDeSdkC,to have and hould all and singular the premises with the apurtenances unto the above said
9wdssHO7eGmXOlWg,estate of the deceased Earle of Carlyle whereof all that tyme there was fare ~
G8Lbj4koER0KdcT0,the said bill of exchange to which the said Barton made answer
2ozi1Own8zA4ADUC,I John More doe assign & sett ovr: all my whole right title & interest
7AjOpUt60TfQMKRy,peny to me oweinge as aforesd & evy or any pte thereof as to my sd
fsGQONvf08WpRtoZ,executors or assynes the sume of Eight thousand pounds of the like tobaccoe in manner and forme followinge
EnSU1hjHkeOgYelz,and Impositions whatsoever. And the Said Henry: Hutchin
CoUUBxj5EfFlDl03,Mcht & Nathan Gragly of Barbados mchant Ten acres of land lying & being in
maPDcMdzp57pydiF,This Indenture made the the twenty and nineth day of
Yid6ZCdtNOBegRdJ,the premisses by vertue of these presents In witness whereof I have hereunto
BayKI3G7iytIBi9V,"Maurice Morgan , John Earle , John Seberry"
J3ZY5fFgDuk7sker,Ented Know all men in by these psents that I Stephen Howe of Darham in the
aqTw9otCG3kCDQiu,or Meant mentioned or Intended to be Granted & Conveyed unto the s^.d Benj 
nHG8uqzC6WToOtUF,menconed or Intended to be herein and hereby granted bargained and 
dp8N7j310savSZht,or by them pretendinge any right title or interest therein In witness whereof wee
